Loan_ID,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Status
LP001002,1,5849,0,146,Y
LP001003,1,4583,1508,128,N
LP001005,1,3000,0,66,Y
LP001006,0,2583,2358,120,Y
LP001008,1,6000,0,141,Y
LP001011,1,5417,4196,267,Y
LP001013,0,2333,1516,95,Y
LP001014,1,3036,2504,158,N
LP001018,1,4006,1526,168,Y
LP001020,1,12841,10968,349,N
LP001024,1,3200,700,70,Y
LP001027,1,2500,1840,109,Y
LP001028,1,3073,8106,200,Y
LP001029,1,1853,2840,114,N
LP001030,1,1299,1086,17,Y
LP001032,1,4950,0,125,Y
LP001034,0,3596,0,100,Y
LP001036,1,3510,0,76,N
LP001038,0,4887,0,133,N
LP001041,1,2600,3500,115,Y
LP001043,0,7660,0,104,N
LP001046,1,5955,5625,315,Y
LP001047,0,2600,1911,116,N
LP001050,0,3365,1917,112,N
LP001052,1,3717,2925,151,N
LP001066,1,9560,0,191,Y
LP001068,1,2799,2253,122,Y
LP001073,0,4226,1040,110,Y
LP001086,0,1442,0,35,N
LP001087,1,3750,2083,120,Y
LP001091,1,4166,3369,201,N
LP001095,1,3167,0,74,N
LP001097,1,4692,0,106,N
LP001098,1,3500,1667,114,Y
LP001100,1,12500,3000,320,N
LP001106,1,2275,2067,146,Y
LP001109,1,1828,1330,100,N
LP001112,1,3667,1459,144,Y
LP001114,1,4166,7210,184,Y
LP001116,0,3748,1668,110,Y
LP001119,1,3600,0,80,N
LP001120,1,1800,1213,47,Y
LP001123,1,2400,0,75,Y
LP001131,1,3941,2336,134,Y
LP001136,0,4695,0,96,Y
LP001137,1,3410,0,88,Y
LP001138,1,5649,0,44,Y
LP001144,1,5821,0,144,Y
LP001146,1,2645,3440,120,N
LP001151,1,4000,2275,144,Y
LP001155,0,1928,1644,100,Y
LP001157,1,3086,0,120,Y
LP001164,1,4230,0,112,N
LP001179,1,4616,0,134,N
LP001186,1,11500,0,286,N
LP001194,1,2708,1167,97,Y
LP001195,1,2132,1591,96,Y
LP001197,1,3366,2200,135,N
LP001198,1,8080,2250,180,Y
LP001199,0,3357,2859,144,Y
LP001205,1,2500,3796,120,Y
LP001206,1,3029,0,99,Y
LP001207,0,2609,3449,165,N
LP001213,1,4945,0,146,N
LP001222,1,4166,0,116,N
LP001225,1,5726,4595,258,N
LP001228,0,3200,2254,126,N
LP001233,1,10750,0,312,Y
LP001238,0,7100,0,125,Y
LP001241,1,4300,0,136,N
LP001243,1,3208,3066,172,Y
LP001245,0,1875,1875,97,Y
LP001248,1,3500,0,81,Y
LP001250,0,4755,0,95,N
LP001253,1,5266,1774,187,Y
LP001255,1,3750,0,113,N
LP001256,1,3750,4750,176,N
LP001259,1,1000,3022,110,N
LP001263,1,3167,4000,180,N
LP001264,0,3333,2166,130,Y
LP001265,1,3846,0,111,Y
LP001266,1,2395,0,146,Y
LP001267,1,1378,1881,167,N
LP001273,1,6000,2250,265,N
LP001275,1,3988,0,50,Y
LP001279,1,2366,2531,136,Y
LP001280,0,3333,2000,99,Y
LP001282,1,2500,2118,104,Y
LP001289,1,8566,0,210,Y
LP001310,1,5695,4167,175,Y
LP001316,1,2958,2900,131,Y
LP001318,1,6250,5654,188,Y
LP001319,0,3273,1820,81,Y
LP001322,1,4133,0,122,Y
LP001325,0,3620,0,25,Y
LP001326,1,6782,0,146,N
LP001327,1,2484,2302,137,Y
LP001333,1,1977,997,50,Y
LP001334,0,4188,0,115,Y
LP001343,1,1759,3541,131,Y
LP001345,0,4288,3263,133,Y
LP001349,1,4843,3806,151,Y
LP001350,1,13650,0,146,Y
LP001356,1,4652,3583,146,Y
LP001357,1,3816,754,160,Y
LP001367,1,3052,1030,100,Y
LP001369,1,11417,1126,225,Y
LP001370,0,7333,0,120,N
LP001379,1,3800,3600,216,N
LP001384,0,2071,754,94,Y
LP001385,1,5316,0,136,Y
LP001387,1,2929,2333,139,Y
LP001391,0,3572,4114,152,N
LP001392,1,7451,0,146,Y
LP001398,1,5050,0,118,Y
LP001401,1,14583,0,185,Y
LP001404,1,3167,2283,154,Y
LP001405,1,2214,1398,85,Y
LP001421,1,5568,2142,175,N
LP001422,1,10408,0,259,Y
LP001426,1,5667,2667,180,Y
LP001430,1,4166,0,44,Y
LP001431,1,2137,8980,137,Y
LP001432,1,2957,0,81,Y
LP001439,0,4300,2014,194,Y
LP001443,1,3692,0,93,Y
LP001448,1,23803,0,370,Y
LP001449,1,3865,1640,146,Y
LP001451,1,10513,3850,160,N
LP001465,1,6080,2569,182,N
LP001469,1,20166,0,650,Y
LP001473,1,2014,1929,74,Y
LP001478,1,2718,0,70,Y
LP001482,1,3459,0,25,Y
LP001487,1,4895,0,102,Y
LP001488,1,4000,7750,290,N
LP001489,1,4583,0,84,N
LP001491,1,3316,3500,88,Y
LP001492,1,14999,0,242,N
LP001493,0,4200,1430,129,N
LP001497,1,5042,2083,185,N
LP001498,1,5417,0,168,Y
LP001504,1,6950,0,175,Y
LP001507,1,2698,2034,122,Y
LP001508,1,11757,0,187,Y
LP001514,1,2330,4486,100,Y
LP001516,1,14866,0,70,Y
LP001518,1,1538,1425,30,Y
LP001519,1,10000,1666,225,N
LP001520,1,4860,830,125,Y
LP001528,1,6277,0,118,N
LP001529,1,2577,3750,152,Y
LP001531,1,9166,0,244,N
LP001532,0,2281,0,113,N
LP001535,1,3254,0,50,Y
LP001536,1,39999,0,600,Y
LP001541,1,6000,0,160,Y
LP001543,1,9538,0,187,Y
LP001546,1,2980,2083,120,Y
LP001552,1,4583,5625,255,Y
LP001560,0,1863,1041,98,Y
LP001562,1,7933,0,275,N
LP001565,1,3089,1280,121,N
LP001570,1,4167,1447,158,Y
LP001572,1,9323,0,75,Y
LP001574,1,3707,3166,182,Y
LP001577,1,4583,0,112,N
LP001578,1,2439,3333,129,Y
LP001579,1,2237,0,63,N
LP001580,1,8000,0,200,Y
LP001581,0,1820,1769,95,Y
LP001585,1,51763,0,700,Y
LP001586,0,3522,0,81,N
LP001594,1,5708,5625,187,Y
LP001603,0,4344,736,87,N
LP001606,1,3497,1964,116,Y
LP001608,1,2045,1619,101,Y
LP001610,1,5516,11300,495,N
LP001616,1,3750,0,116,Y
LP001630,0,2333,1451,102,N
LP001633,1,6400,7250,180,N
LP001634,1,1916,5063,67,N
LP001636,1,4600,0,73,Y
LP001637,1,33846,0,260,N
LP001639,1,3625,0,108,Y
LP001640,1,39147,4750,120,Y
LP001641,1,2178,0,66,N
LP001643,1,2383,2138,58,Y
LP001644,1,674,5296,168,Y
LP001647,1,9328,0,188,Y
LP001653,0,4885,0,48,Y
LP001656,1,12000,0,164,N
LP001657,0,6033,0,160,N
LP001658,1,3858,0,76,Y
LP001664,1,4191,0,120,Y
LP001665,1,3125,2583,170,N
LP001666,1,8333,3750,187,Y
LP001669,0,1907,2365,120,Y
LP001671,1,3416,2816,113,Y
LP001673,1,11000,0,83,N
LP001674,0,2600,2500,90,Y
LP001677,1,4923,0,166,Y
LP001682,0,3992,0,146,N
LP001688,0,3500,1083,135,Y
LP001691,0,3917,0,124,Y
LP001692,0,4408,0,120,Y
LP001693,1,3244,0,80,Y
LP001698,0,3975,2531,55,Y
LP001699,1,2479,0,59,Y
LP001702,1,3418,0,127,N
LP001708,1,10000,0,214,N
LP001711,1,3430,1250,128,N
LP001713,1,7787,0,240,Y
LP001715,0,5703,0,130,Y
LP001716,1,3173,3021,137,Y
LP001720,0,3850,983,100,Y
LP001722,1,150,1800,135,N
LP001726,1,3727,1775,131,Y
LP001732,1,5000,0,72,N
LP001734,1,4283,2383,127,Y
LP001736,1,2221,0,60,N
LP001743,1,4009,1717,116,Y
LP001744,1,2971,2791,144,Y
LP001749,1,7578,1010,175,Y
LP001750,1,6250,0,128,Y
LP001751,1,3250,0,170,N
LP001754,0,4735,0,138,N
LP001758,1,6250,1695,210,Y
LP001760,1,4758,0,158,Y
LP001761,1,6400,0,200,Y
LP001765,1,2491,2054,104,Y
LP001768,1,3716,0,42,Y
LP001770,0,3189,2598,120,Y
LP001776,1,8333,0,280,Y
LP001778,1,3155,1779,140,Y
LP001784,1,5500,1260,170,Y
LP001786,1,5746,0,255,N
LP001788,1,3463,0,122,Y
LP001790,1,3812,0,112,Y
LP001792,1,3315,0,96,Y
LP001798,1,5819,5000,120,Y
LP001800,0,2510,1983,140,N
LP001806,1,2965,5701,155,Y
LP001807,1,6250,1300,108,Y
LP001811,0,3406,4417,123,Y
LP001813,1,6050,4333,120,N
LP001814,1,9703,0,112,Y
LP001819,0,6608,0,137,Y
LP001824,1,2882,1843,123,Y
LP001825,1,1809,1868,90,Y
LP001835,0,1668,3890,201,N
LP001836,1,3427,0,138,N
LP001841,0,2583,2167,104,Y
LP001843,0,2661,7101,279,Y
LP001844,1,16250,0,192,N
LP001846,1,3083,0,255,Y
LP001849,0,6045,0,115,N
LP001854,1,5250,0,94,N
LP001859,1,14683,2100,304,N
LP001864,0,4931,0,128,N
LP001865,1,6083,4250,330,Y
LP001868,1,2060,2209,134,Y
LP001870,1,3481,0,155,N
LP001871,1,7200,0,120,Y
LP001872,1,5166,0,128,Y
LP001875,1,4095,3447,151,Y
LP001877,1,4708,1387,150,Y
LP001882,1,4333,1811,160,Y
LP001883,1,3418,0,135,N
LP001884,1,2876,1560,90,Y
LP001888,1,3237,0,30,Y
LP001891,1,11146,0,136,Y
LP001892,1,2833,1857,126,Y
LP001894,1,2620,2223,150,Y
LP001896,1,3900,0,90,Y
LP001900,1,2750,1842,115,Y
LP001903,1,3993,3274,207,Y
LP001904,1,3103,1300,80,Y
LP001907,1,14583,0,436,Y
LP001908,0,4100,0,124,Y
LP001910,0,4053,2426,158,N
LP001914,1,3927,800,112,Y
LP001915,1,2301,985.7999878,78,Y
LP001917,1,1811,1666,54,Y
LP001922,1,20667,0,146,N
LP001924,1,3158,3053,89,Y
LP001925,1,2600,1717,99,N
LP001926,1,3704,2000,120,Y
LP001931,1,4124,0,115,Y
LP001935,1,9508,0,187,Y
LP001936,1,3075,2416,139,Y
LP001938,1,4400,0,127,N
LP001940,1,3153,1560,134,Y
LP001945,1,5417,0,143,N
LP001947,1,2383,3334,172,Y
LP001949,1,4416,1250,110,Y
LP001953,1,6875,0,200,Y
LP001954,1,4666,0,135,Y
LP001955,1,5000,2541,151,N
LP001963,1,2014,2925,113,N
LP001964,0,1800,2934,93,N
LP001972,0,2875,1750,105,Y
LP001974,1,5000,0,132,Y
LP001977,1,1625,1803,96,Y
LP001978,1,4000,2500,140,Y
LP001990,0,2000,0,146,N
LP001993,1,3762,1666,135,Y
LP001994,1,2400,1863,104,N
LP001996,1,20233,0,480,N
LP001998,0,7667,0,185,Y
LP002002,1,2917,0,84,Y
LP002004,0,2927,2405,111,Y
LP002006,1,2507,0,56,Y
LP002008,1,5746,0,144,Y
LP002024,1,2473,1843,159,N
LP002031,0,3399,1640,111,Y
LP002035,1,3717,0,120,Y
LP002036,1,2058,2134,88,Y
LP002043,1,3541,0,112,Y
LP002050,1,10000,0,155,N
LP002051,1,2400,2167,115,Y
LP002053,1,4342,189,124,Y
LP002054,0,3601,1590,146,Y
LP002055,1,3166,2985,132,Y
LP002065,1,15000,0,300,Y
LP002067,1,8666,4983,376,N
LP002068,1,4917,0,130,Y
LP002082,1,5818,2160,184,Y
LP002086,1,4333,2451,110,N
LP002087,1,2500,0,67,Y
LP002097,1,4384,1793,117,Y
LP002098,1,2935,0,98,Y
LP002100,1,2833,0,71,Y
LP002101,1,63337,0,490,Y
LP002103,1,9833,1833,182,Y
LP002106,1,5503,4490,70,Y
LP002110,1,5250,688,160,Y
LP002112,1,2500,4600,176,Y
LP002113,0,1830,0,146,N
LP002114,1,4160,0,71,Y
LP002115,0,2647,1587,173,N
LP002116,1,2378,0,46,N
LP002119,0,4554,1229,158,Y
LP002126,0,3173,0,74,Y
LP002128,1,2583,2330,125,Y
LP002129,1,2499,2458,160,Y
LP002130,0,3523,3230,152,N
LP002131,0,3083,2168,126,Y
LP002137,1,6333,4583,259,Y
LP002138,1,2625,6250,187,Y
LP002139,1,9083,0,228,Y
LP002140,1,8750,4167,308,N
LP002141,1,2666,2083,95,Y
LP002142,1,5500,0,105,N
LP002143,1,2423,505,130,Y
LP002144,1,3813,0,116,Y
LP002149,1,8333,3167,165,Y
LP002151,1,3875,0,67,N
LP002158,0,3000,1666,100,N
LP002160,1,5167,3167,200,Y
LP002161,1,4723,0,81,N
LP002170,1,5000,3667,236,Y
LP002175,1,4750,2333,130,Y
LP002178,1,3013,3033,95,Y
LP002180,1,6822,0,141,Y
LP002181,0,6216,0,133,N
LP002187,1,2500,0,96,N
LP002188,1,5124,0,124,N
LP002190,1,6325,0,175,Y
LP002191,1,19730,5266,570,N
LP002194,1,15759,0,55,Y
LP002197,1,5185,0,155,Y
LP002201,1,9323,7873,380,Y
LP002205,1,3062,1987,111,N
LP002209,1,2764,1459,110,Y
LP002211,1,4817,923,120,Y
LP002219,1,8750,4996,130,Y
LP002223,1,4310,0,130,Y
LP002224,1,3069,0,71,N
LP002225,1,5391,0,130,Y
LP002226,1,3333,2500,128,Y
LP002229,1,5941,4232,296,Y
LP002231,1,6000,0,156,Y
LP002234,1,7167,0,128,Y
LP002236,1,4566,0,100,N
LP002237,1,3667,0,113,Y
LP002239,0,2346,1600,132,Y
LP002243,0,3010,3136,146,N
LP002244,1,2333,2417,136,Y
LP002250,1,5488,0,125,Y
LP002255,1,9167,0,185,Y
LP002262,1,9504,0,275,Y
LP002263,1,2583,2115,120,Y
LP002265,0,1993,1625,113,Y
LP002266,1,3100,1400,113,Y
LP002272,1,3276,484,135,Y
LP002277,1,3180,0,71,N
LP002281,1,3033,1459,95,Y
LP002284,0,3902,1666,109,Y
LP002287,1,1500,1800,103,N
LP002288,0,2889,0,45,N
LP002296,0,2755,0,65,N
LP002297,1,2500,20000,103,Y
LP002300,0,1963,0,53,Y
LP002301,1,7441,0,194,N
LP002305,1,4547,0,115,Y
LP002308,0,2167,2400,115,Y
LP002314,0,2213,0,66,Y
LP002315,1,8300,0,152,N
LP002317,1,81000,0,360,N
LP002318,0,3867,0,62,N
LP002319,1,6256,0,160,Y
LP002328,0,6096,0,218,N
LP002332,0,2253,2033,110,Y
LP002335,0,2149,3237,178,N
LP002337,1,2995,0,60,Y
LP002341,1,2600,0,160,N
LP002342,1,1600,20000,239,N
LP002345,1,1025,2773,112,Y
LP002347,1,3246,1417,138,Y
LP002348,1,5829,0,138,Y
LP002357,0,2720,0,80,N
LP002361,1,1820,1719,100,Y
LP002362,1,7250,1667,110,N
LP002364,1,14880,0,96,Y
LP002366,1,2666,4300,121,Y
LP002367,0,4606,0,81,N
LP002368,1,5935,0,133,Y
LP002369,1,2920,16.12000084,87,Y
LP002370,0,2717,0,60,Y
LP002377,1,8624,0,150,Y
LP002379,1,6500,0,105,N
LP002386,1,12876,0,405,Y
LP002387,1,2425,2340,143,Y
LP002390,1,3750,0,100,Y
LP002393,1,10047,0,146,Y
LP002398,1,1926,1851,50,Y
LP002401,1,2213,1125,146,Y
LP002403,1,10416,0,187,N
LP002407,0,7142,0,138,Y
LP002408,1,3660,5064,187,Y
LP002409,1,7901,1833,180,Y
LP002418,0,4707,1993,148,Y
LP002422,1,37719,0,152,Y
LP002424,1,7333,8333,175,Y
LP002429,1,3466,1210,130,Y
LP002434,0,4652,0,110,Y
LP002435,1,3539,1376,55,N
LP002443,1,3340,1710,150,N
LP002444,0,2769,1542,190,N
LP002446,0,2309,1255,125,N
LP002447,0,1958,1456,60,Y
LP002448,1,3948,1733,149,N
LP002449,1,2483,2466,90,Y
LP002453,1,7085,0,84,Y
LP002455,1,3859,0,96,Y
LP002459,1,4301,0,118,Y
LP002467,1,3708,2569,173,N
LP002472,1,4354,0,136,Y
LP002473,1,8334,0,160,N
LP002478,1,2083,4083,160,Y
LP002484,1,7740,0,128,Y
LP002487,1,3015,2188,153,Y
LP002489,0,5191,0,132,Y
LP002493,1,4166,0,98,N
LP002494,1,6000,0,140,Y
LP002500,0,2947,1664,70,N
LP002501,1,16692,0,110,Y
LP002502,0,210,2917,98,Y
LP002505,1,4333,2451,110,N
LP002515,1,3450,2079,162,Y
LP002517,0,2653,1500,113,N
LP002519,1,4691,0,100,Y
LP002522,1,2500,0,93,Y
LP002524,1,5532,4648,162,Y
LP002527,1,16525,1014,150,Y
LP002529,1,6700,1750,230,Y
LP002530,1,2873,1872,132,N
LP002531,1,16667,2250,86,Y
LP002533,1,2947,1603,146,N
LP002534,0,4350,0,154,Y
LP002536,0,3095,0,113,Y
LP002537,1,2083,3150,128,Y
LP002541,1,10833,0,234,Y
LP002543,1,8333,0,246,Y
LP002544,0,1958,2436,131,Y
LP002545,1,3547,0,80,N
LP002547,1,18333,0,500,N
LP002555,1,4583,2083,160,Y
LP002556,1,2435,0,75,N
LP002560,0,2699,2785,96,Y
LP002562,0,5333,1131,186,Y
LP002571,0,3691,0,110,Y
LP002582,0,17263,0,225,Y
LP002585,1,3597,2157,119,N
LP002586,1,3326,913,105,Y
LP002587,0,2600,1700,107,Y
LP002588,1,4625,2857,111,Y
LP002600,1,2895,0,95,Y
LP002602,1,6283,4416,209,N
LP002603,1,645,3683,113,Y
LP002606,1,3159,0,100,Y
LP002615,1,4865,5624,208,Y
LP002618,0,4050,5302,138,N
LP002619,0,3814,1483,124,Y
LP002622,1,3510,4416,243,Y
LP002624,1,20833,6667,480,Y
LP002625,1,3583,0,96,N
LP002626,1,2479,3013,188,Y
LP002634,1,13262,0,40,Y
LP002637,0,3598,1287,100,N
LP002640,1,6065,2004,250,Y
LP002643,1,3283,2035,148,Y
LP002648,1,2130,6666,70,N
LP002652,1,5815,3666,311,N
LP002659,1,3466,3428,150,Y
LP002670,1,2031,1632,113,Y
LP002682,0,3074,1800,123,N
LP002683,1,4683,1915,185,N
LP002684,0,3400,0,95,N
LP002689,0,2192,1742,45,Y
LP002690,1,2500,0,55,Y
LP002692,1,5677,1424,100,Y
LP002693,1,7948,7166,480,Y
LP002697,1,4680,2087,146,N
LP002699,1,17500,0,400,Y
LP002705,1,3775,0,110,Y
LP002706,0,5285,1430,161,Y
LP002714,0,2679,1302,94,Y
LP002716,0,6783,0,130,Y
LP002717,1,1025,5500,216,Y
LP002720,1,4281,0,100,Y
LP002723,1,3588,0,110,N
LP002729,1,11250,0,196,N
LP002731,0,18165,0,125,Y
LP002732,0,2550,2042,126,Y
LP002734,1,6133,3906,324,Y
LP002738,1,3617,0,107,Y
LP002739,0,2917,536,66,N
LP002740,1,6417,0,157,Y
LP002741,1,4608,2845,140,Y
LP002743,1,2138,0,99,N
LP002753,1,3652,0,95,Y
LP002755,0,2239,2524,128,Y
LP002757,0,3017,663,102,Y
LP002767,1,2768,1950,155,Y
LP002768,0,3358,0,80,N
LP002772,1,2526,1783,145,Y
LP002776,1,5000,0,103,N
LP002777,1,2785,2016,110,Y
LP002778,1,6633,0,146,N
LP002784,0,2492,2375,146,Y
LP002785,1,3333,3250,158,Y
LP002788,0,2454,2333,181,N
LP002789,1,3593,4266,132,N
LP002792,1,5468,1032,26,Y
LP002794,1,2667,1625,84,Y
LP002795,1,10139,0,260,Y
LP002798,1,3887,2669,162,Y
LP002804,1,4180,2306,182,Y
LP002807,0,3675,242,108,Y
LP002813,1,19484,0,600,Y
LP002820,1,5923,2054,211,Y
LP002821,0,5800,0,132,Y
LP002832,1,8799,0,258,N
LP002833,0,4467,0,120,Y
LP002836,1,3333,0,70,Y
LP002837,1,3400,2500,123,N
LP002840,1,2378,0,9,N
LP002841,1,3166,2064,104,N
LP002842,1,3417,1750,186,Y
LP002847,1,5116,1451,165,N
LP002855,1,16666,0,275,Y
LP002862,0,6125,1625,187,N
LP002863,1,6406,0,150,N
LP002868,1,3159,461,108,Y
LP002872,1,3087,2210,136,N
LP002874,1,3229,2739,110,Y
LP002877,1,1782,2232,107,Y
LP002888,1,3182,2917,161,Y
LP002892,1,6540,0,205,Y
LP002893,1,1836,33837,90,N
LP002894,1,3166,0,36,Y
LP002898,1,1880,0,61,N
LP002911,1,2787,1917,146,N
LP002912,1,4283,3000,172,N
LP002916,1,2297,1522,104,Y
LP002917,0,2165,0,70,Y
LP002925,1,4750,0,94,Y
LP002926,1,2726,0,106,N
LP002928,1,3000,3416,56,Y
LP002931,1,6000,0,205,N
LP002933,1,9357,0,292,Y
LP002936,1,3859,3300,142,Y
LP002938,1,16120,0,260,Y
LP002940,0,3833,0,110,Y
LP002941,0,6383,1000,187,N
LP002943,1,2987,0,88,N
LP002945,1,9963,0,180,Y
LP002948,1,5780,0,192,Y
LP002949,1,416,41667,350,N
LP002950,0,2894,2792,155,Y
LP002953,1,5703,0,128,Y
LP002958,1,3676,4301,172,Y
LP002959,1,12000,0,496,Y
LP002960,0,2400,3800,146,N
LP002961,1,3400,2500,173,Y
LP002964,0,3987,1411,157,Y
LP002974,1,3232,1950,108,Y
LP002978,1,2900,0,71,Y
LP002979,1,4106,0,40,Y
LP002983,1,8072,240,253,Y
LP002984,1,7583,0,187,Y
LP002990,1,4583,0,133,N
